date,exchange,q,ticker,Environmental_prepared remarks:,Social_prepared remarks:,Governance_prepared remarks:,Environmental_questions and answers:,Social_questions and answers:,Governance_questions and answers:,Overall_prepared_remarks_esg,Overall_qa_esg,greenwashing_detected
"Oct 27, 2022, 5:00 p.m. ET",NASDAQ: AAPL,2022-Q4,AAPL,0.9529,0.99995,,,,,0.83,0.55,True
"Jan 25, 2022, 5:30 p.m. ET",NASDAQ: MSFT,2022-Q2,MSFT,0.9964,0.9997,,,,,0.85,0.55,True
"Feb 02, 2023, 5:30 p.m. ET",NASDAQ: AMZN,2022-Q4,AMZN,,0.9997,,,,,0.7,0.55,False
"Oct 26, 2021, 4:30 p.m. ET",NASDAQ: GOOGL,2021-Q3,GOOGL,0.97495,0.9955,,,0.97445,,0.84,0.69,True
"Jul 27, 2022, 5:00 p.m. ET",NASDAQ: META,2022-Q2,META,1.0,0.9999,,,,,0.85,0.55,True
"Jan 25, 2023, 5:30 p.m. ET",NASDAQ: TSLA,2022-Q4,TSLA,0.99985,1.0,,,,,0.85,0.55,True
"Jan 12, 2023, 1:00 a.m. ET",NYSE: TSM,2022-Q4,TSM,0.9661,0.9998,,,,,0.84,0.55,True
"Jul 27, 2021, 5:00 p.m. ET",NYSE: V,2021-Q3,V,0.8406,0.9969,,,,,0.8,0.55,True
"Jan 25, 2022, 8:30 a.m. ET",NYSE: JNJ,2021-Q4,JNJ,,1.0,,,,,0.7,0.55,False
"Aug 16, 2022, 8:00 a.m. ET",NYSE: WMT,2023-Q2,WMT,1.0,1.0,,,,,0.85,0.55,True
"Jul 14, 2022, 8:30 a.m. ET",NYSE: JPM,2022-Q2,JPM,,0.87,0.9941,,,,0.8,0.55,True
"Jan 26, 2023, 9:00 a.m. ET",NYSE: MA,2022-Q4,MA,0.8796,0.9999,,,,,0.81,0.55,True
"Oct 19, 2021, 8:30 a.m. ET",NYSE: PG,2022-Q1,PG,,1.0,,,1.0,,0.7,0.7,False
"Jul 15, 2022, 8:45 a.m. ET",NYSE: UNH,2022-Q2,UNH,,0.9999,,,,,0.7,0.55,False
"Aug 24, 2022, 5:00 p.m. ET",NASDAQ: NVDA,2023-Q2,NVDA,,0.9967,,,,,0.7,0.55,False
"Feb 22, 2022, 9:00 a.m. ET",NYSE: HD,2021-Q4,HD,0.0159,1.0,1.0,,,,0.67,0.55,False
"Nov 08, 2021, 5:00 p.m. ET",NASDAQ: PYPL,2021-Q3,PYPL,-0.6666,0.9998,,,,,0.29,0.55,False
"Aug 10, 2022, 4:30 p.m. ET",NYSE: DIS,2022-Q3,DIS,1.0,1.0,,,,,0.85,0.55,True
"Dec 16, 2021, 11:00 a.m. ET",NASDAQ: ADBE,2021-Q4,ADBE,0.7597499999999999,1.0,,-0.6116,0.99985,,0.77,0.31,True
"Oct 18, 2022, 6:00 p.m. ET",NASDAQ: NFLX,2022-Q3,NFLX,,0.9999,,,,,0.7,0.55,False
"Oct 20, 2021, 8:30 a.m. ET",NYSE: VZ,2021-Q3,VZ,,1.0,,,1.0,,0.7,0.7,False
"Feb 10, 2022, 8:30 a.m. ET",NYSE: KO,2021-Q4,KO,0.1754,1.0,0.8994,,,,0.69,0.55,False
"Sep 29, 2022, 5:00 p.m. ET",NYSE: NKE,2023-Q1,NKE,0.99995,1.0,,,,,0.85,0.55,True
"Jan 31, 2023, 10:00 a.m. ET",NYSE: PFE,2022-Q4,PFE,0.8445,0.9998,,,,,0.8,0.55,True
"Apr 28, 2022, 5:00 p.m. ET",NASDAQ: INTC,2022-Q1,INTC,0.9997,1.0,,,,,0.85,0.55,True
"Oct 5, 2021, 8:15 a.m. ET",NASDAQ: PEP,2021-Q3,PEP,,,,0.99985,0.99295,,0.55,0.85,False
"Oct 28, 2021, 8:30 a.m. ET",NASDAQ: CMCSA,2021-Q3,CMCSA,0.75195,1.0,,0.9408,1.0,,0.77,0.83,False
"Feb 16, 2022, 4:30 p.m. ET",NASDAQ: CSCO,2022-Q2,CSCO,0.9491,0.99995,,,,,0.83,0.55,True
